S01E01	Flug 627
S01E02	Das Experiment
S01E03	Roy
S01E04	Die Ankunft
S01E05	Unter Strom
S01E06	Das Heilmittel
S01E07	Der geheimnisvolle Mr. Jones
S01E08	Die Gleichung
S01E09	Schmetterlinge im Kopf
S01E10	Durch die Wand
S01E11	Das Schnupfenvirus
S01E12	Hirnfresser
S01E13	Conrad
S01E14	Das Manifest
S01E15	Ohne Worte
S01E16	Entfesselt
S01E17	Albträume
S01E18	Nachtschatten
S01E19	Der andere Weg
S01E20	Nichts ist einzigartig
S02E01	Rückkehr
S02E02	Objekt der Begierde
S02E03	Der Colonel
S02E04	Masse mal Geschwindigkeit
S02E05	Traumfänger
S02E06	Der Kosmonaut
S02E07	Kontrolle
S02E08	August
S02E09	Snakeheads
S02E10	Die Tür
S02E11	Besessen
S02E12	Das Summen von Edina
S02E13	Das Grauen aus der Tiefe
S02E14	Dr. Robert Bischoff
S02E15	Jacksonville
S02E16	Peter
S02E17	Die Bürde
S02E18	Die weiße Tulpe
S02E19	Der Mann von der anderen Seite
S02E20	Brown Betty
S02E21	Noyo County
S02E22	Die andere Seite (1)
S02E23	Die andere Seite (2)
S03E01	Olivia
S03E02	Der Kasten
S03E03	Milo
S03E04	Träumen Gestaltwandler von elektrischen Schafen?
S03E05	Bernstein 31422
S03E06	6955 kHz
S03E07	Entführt
S03E08	Entrada
S03E09	Marionette
S03E10	Das Glühwürmchen
S03E11	Wechselspiel
S03E12	Der Gedankenleser
S03E13	Unsterblich
S03E14	6B
S03E15	Versuchsperson 13
S03E16	Os
S03E17	Per Anhalter
S03E18	Blutlinie
S03E19	LSD
S03E20	6:02 Uhr
S03E21	Der letzte Sam Weiss
S03E22	Der Tag, an dem wir starben
S04E01	Der Mann im Spiegel
S04E02	Eine Nacht im Oktober
S04E03	Allein auf der Welt
S04E04	Versuchsperson 9
S04E05	Erneuerung
S04E06	Die wir zurück gelassen haben
S04E07	Mauerblümchen
S04E08	Rückkehr ins Ungewisse
S04E09	Der Feind meines Feindes
S04E10	Prophezeiung
S04E11	Der Erlöser
S04E12	Willkommen in Westfield
S04E13	Der Schwarm
S04E14	Das Ende aller Dinge
S04E15	Das Parfum
S04E16	Nichts ist, wie es scheint
S04E17	Alles am richtigen Platz
S04E18	Der Berater
S04E19	2036
S04E20	Getrennte Welten
S04E21	Schöne neue Welt (1)
S04E22	Schöne neue Welt (2)
S05E01	Assoziativer Gedankenintegrator, Modell-11
S05E02	In Absentia
S05E03	Der Archivar
S05E04	Die Kugel, die die Welt rettete
S05E05	Zum Ursprung
S05E06	Durch den Spiegel, und was Walter dort fand
S05E07	Bells Vermächtnis
S05E08	Die Menschheit
S05E09	Hofmann
S05E10	Anomalie XB-6783746
S05E11	Der Junge muss leben
S05E12	Freiheit
S05E13	Ein Feind des Schicksals
