S01E01	Air Force One
S01E02	Sprung in den Tod
S01E03	Seadog
S01E04	Die Unsterblichen
S01E05	Der Fluch der Mumie
S01E06	Speed
S01E07	Unter Wasser
S01E08	Schlimmer als der Tod
S01E09	Anruf von einem Toten
S01E10	Lebendig begraben
S01E11	Wintersonne
S01E12	Ein Bein in West Virginia
S01E13	Todesschüsse
S01E14	Der gute Samariter
S01E15	Der Colonel
S01E16	Alptraum im Keller
S01E17	Fünf Musketiere
S01E18	Falsche Fährten
S01E19	Wenn Tote sprechen
S01E20	Willkommen in der Hölle
S01E21	Verbotene Waffen
S01E22	Abgestürzt
S01E23	Der Terrorist
S02E01	Unsichtbar
S02E02	Die perfekte Frau
S02E03	Auge um Auge
S02E04	Neptuns Zeichen
S02E05	Der Maulwurf
S02E06	Schatten der Angst
S02E07	Der Held von Iwo Jima
S02E08	Herzenssachen
S02E09	Leere Augen
S02E10	Flucht in Ketten
S02E11	Ein Mann für unlösbare Fälle
S02E12	Doppeltes Spiel
S02E13	Blutiges Puzzle
S02E14	Die Zeugin
S02E15	Männer und Frauen
S02E16	Wege zum Ruhm
S02E17	Blau wie Kobalt
S02E18	Bikini Girl
S02E19	Stimmen
S02E20	Die rote Zelle
S02E21	Mit allen Ehren
S02E22	Todeskuss
S02E23	Die Rückkehr
S03E01	Das Duell - Teil 1
S03E02	Das Duell - Teil 2
S03E03	Der Mann in der Todeszelle
S03E04	Sarg aus Eisen
S03E05	Rollentausch
S03E06	Voyeure im Netz
S03E07	Projekt Honor
S03E08	Goldherz
S03E09	In der Falle
S03E10	Drei Kugeln
S03E11	Boot Camp Babes
S03E12	Die Spur des Geldes
S03E13	Ein langer Sonntag
S03E14	Schläfer
S03E15	Kopfsache
S03E16	Familiengeheimnis
S03E17	Bärenjäger
S03E18	Der letzte Sonnenuntergang
S03E19	Tod im Eis
S03E20	Das Leck
S03E21	Typisch Montag
S03E22	Brüder
S03E23	Fünfzehn Jahre
S03E24	Semper Fi
S04E01	Schalom
S04E02	Auf der Flucht
S04E03	Schnelle Liebe
S04E04	Der größte Köder
S04E05	Die Verlobten
S04E06	Halloween
S04E07	Der Hintermann
S04E08	Einmal ein Held
S04E09	Die kleine Schwester
S04E10	Die Mumie
